Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-03-31,20.10300,7.50500,12.59800,203.85200,35.83800,,239.69000,-227.09200,-6.01300,-233.10500,-233.10500,-232.91000,-232.91000,-225.72200,-227.09200,88.37500,88.37500,-2.64000,-2.64000,11.32340,62.66730,-1129.64200,-1129.64200,-1159.55300,-1158.58300,0.01780,0.59430,2.28050,39.46430,-23.06790,-23.28400,-20.58800,-23.06790,11.40630,-1.91800,-1.93700
2020-12-31,15.09400,6.82200,8.27200,62.56200,40.96600,,103.52800,-95.25600,19.15700,-76.09900,-76.09900,-76.54700,-76.54700,-93.94700,-95.25600,77.66800,77.66800,-0.88000,-0.88000,12.40310,54.80320,-631.08510,-631.08500,-504.16730,-507.13530,0.01160,0.51900,2.92240,30.79700,-6.54610,-6.59940,-5.89890,-6.54610,13.31660,-0.5055,-0.5718
2020-09-30,14.65100,4.93400,9.71700,58.10000,27.87400,,85.97400,-76.25700,12.78100,-63.47600,-63.47600,-63.74100,-63.74100,-75.18900,-76.25700,75.43700,75.43700,-0.84000,-0.84000,,66.32310,-520.49010,-520.49010,-433.25370,-435.06250,,,,,,,,,,-1.7302,-1.78
2020-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2020-03-31,8.21800,2.08400,6.13400,33.74200,18.71400,,52.45600,-46.32200,-1.52900,-47.85100,-47.85100,-47.98800,-47.98800,-45.33000,-46.32200,72.95700,72.95700,-0.66000,-0.66000,,74.64100,-563.66500,-563.66500,-582.27060,-583.93760,,,,,,,,,,-0.54610,-0.56040
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
